식품명,칼로리,탄수화물,단백질,지방,섭취량
닭찜,197,0.00,29.80,7.79,101g
닭찜,110,0.00,23.00,2.50,4 oz
닭찜,247,0.00,25.06,15.49,101g
닭파프라카볶음,2539,177.08,198.86,115.93,2280g
닭파프라카볶음,2569,89.35,239.84,139.38,2284g
닭파프라카볶음,2633,89.35,249.43,142.30,2284g
닭훈제구이,239,0.00,27.30,13.60,101g
닭훈제구이,N/A,N/A,N/A,N/A,N/A
닭훈제구이,120,0.00,26.00,1.50,4 oz
당근,41,9.58,0.93,0.24,100g
당근,41,9.58,0.93,0.24,100g
당근,87,12.85,1.19,3.99,161g
당근주스,40,9.29,0.95,0.15,100g
당근주스,N/A,N/A,N/A,N/A,N/A
당근주스,80,16.00,2.00,1.00,1 cup
당근케이크,6952,902.40,65.77,355.78,1704g
당근케이크,5888,694.82,59.73,328.94,1415g
당근케이크,N/A,N/A,N/A,N/A,N/A
대추,79,20.23,1.20,0.20,100g
대추,287,73.60,3.70,1.10,100g
대추,100,26.00,0.00,0.00,35 pieces
대파,N/A,N/A,N/A,N/A,N/A
대파,32,7.34,1.83,0.19,100g
대파,25,5.65,1.80,0.10,100g
데리야끼치킨,1243,56.96,166.04,32.81,890g
데리야끼치킨,120,1.00,25.00,2.00,3 oz
데리야끼치킨,340,14.00,41.00,13.00,1 serving
데친두부,2387,264.96,51.77,135.94,1153g
데친두부,322,3.75,5.84,31.54,100g
데친두부,184,20.87,2.74,12.46,84g
도넛,822,44.00,64.00,43.00,1 meal
도넛,598,38.00,45.00,28.00,1 serving
도넛,597,58.00,29.00,26.00,3 tacos
도리아,170,21.00,3.00,10.00,1 ball
도리아,N/A,N/A,N/A,N/A,N/A
도리야끼,170,36.00,3.00,2.00,1 cake
도리야끼,730,101.00,45.00,15.00,1 bowl
도리야끼,620,102.00,38.00,7.00,1 bowl
돼지갈비찜,2992,40.53,206.90,215.49,965g
돼지갈비찜,160,0.00,23.00,9.00,4 oz
돼지갈비찜,230,0.00,19.00,16.00,4 oz
돼지감자,N/A,N/A,N/A,N/A,N/A
돼지감자,730,51.00,32.00,44.00,1 serving
돼지감자,750,56.00,39.00,46.00,1 serving
돼지고기고추장불고기,136,0.00,20.54,5.41,100g
돼지고기고추장불고기,273,0.00,27.57,17.18,101g
돼지고기고추장불고기,273,0.00,27.57,17.18,101g
돼지고기구이,136,0.00,20.54,5.41,100g
돼지고기구이,273,0.00,27.57,17.18,101g
돼지고기구이,273,0.00,27.57,17.18,101g
돼지고기볶음,136,0.00,20.54,5.41,100g
돼지고기볶음,273,0.00,27.57,17.18,101g
돼지고기볶음,273,0.00,27.57,17.18,101g
돼지고기스테이크,220,0.00,18.00,17.00,4 oz
돼지고기스테이크,225,0.00,25.42,12.94,91g
돼지고기스테이크,190,0.00,18.00,12.00,4 oz
된장국,486,45.00,34.86,19.44,1389g
된장국,60,6.00,4.00,2.00,1 bowl
된장국,30,4.00,2.00,1.00,1 serving
된장찌개,6857,1556.43,186.11,9.14,3265g
된장찌개,108,15.20,5.20,3.16,200g
된장찌개,47,8.02,2.28,0.61,100g
두부,70,2.00,8.00,3.50,3 oz
두부,70,2.00,8.00,3.50,3 oz
두부,N/A,N/A,N/A,N/A,N/A
두부튀김,70,2.00,8.00,3.50,3 oz
두부튀김,70,2.00,8.00,3.50,3 oz
두부튀김,N/A,N/A,N/A,N/A,N/A
두유,52,4.93,4.48,1.92,100g
두유,80,3.00,7.00,4.00,1 cup
두유,110,9.00,8.00,4.50,1 cup
등심스테이크,201,0.00,20.30,12.71,100g
등심스테이크,210,0.00,23.00,12.00,4 oz
등심스테이크,190,0.00,23.00,11.00,4 oz
딤섬,50,1.00,3.00,1.00,1 dumpling
딤섬,150,26.70,4.30,2.90,1 bun
딤섬,58,2.80,3.50,3.80,1 piece
딸기,32,7.68,0.67,0.30,100g
딸기,32,7.68,0.67,0.30,100g
딸기,50,11.00,1.00,0.00,1 cup
딸기라떼,106,10.06,7.14,4.48,332g
딸기라떼,238,40.46,7.17,5.75,368g
딸기라떼,38,7.80,0.30,0.60,100g
딸기아이스크림,32,7.68,0.67,0.30,100g
딸기아이스크림,32,7.68,0.67,0.30,100g
딸기아이스크림,50,11.00,1.00,0.00,1 cup
땅콩버터,588,19.56,25.09,50.39,100g
땅콩버터,180,8.00,7.00,15.00,2 tbsp
땅콩버터,190,8.00,7.00,16.00,2 tbsp
떡만두국고기만두,234,14.71,13.65,13.42,586g
떡만두국고기만두,3856,228.54,272.71,198.92,2553g
떡만두국고기만두,1039,85.49,85.59,38.98,953g
떡볶이,230,50.00,5.00,1.50,1 serving
떡볶이,N/A,N/A,N/A,N/A,N/A
떡볶이,980,174.00,32.00,18.00,1 plate
똠양꿍,2398,82.84,316.44,78.84,1080g
똠양꿍,640,35.94,39.14,36.91,224g
똠양꿍,127,11.18,7.25,5.63,44g
라따뚜이,1414,109.58,15.51,110.56,1964g
라따뚜이,N/A,N/A,N/A,N/A,N/A
라따뚜이,150,19.00,3.00,8.00,1 container
라떼,110,10.06,7.17,4.48,332g
라떼,150,15.00,10.00,6.00,1 serving
라떼,250,24.00,16.00,9.00,1 serving
라멘,N/A,N/A,N/A,N/A,N/A
라멘,850,129.00,21.00,26.00,1 bowl
라멘,410,63.00,20.00,7.00,1 bowl
라면,N/A,N/A,N/A,N/A,N/A
라면,850,129.00,21.00,26.00,1 bowl
라면,410,63.00,20.00,7.00,1 bowl
라자냐,174,4.66,8.72,13.54,88g
라자냐,110,8.40,13.50,2.50,1 serving
라자냐,410,39.00,6.00,25.00,1 cake
랍스타,98,1.28,20.50,0.59,101g
랍스타,98,1.28,20.50,0.59,101g
랍스타,40,1.00,9.00,0.00,2 oz
레드와인,85,2.61,0.07,0.00,100g
레드와인,84,2.60,0.07,0.00,100g
레드와인,83,2.31,0.07,0.00,100g
레모네이드,791,206.36,1.39,0.79,1979g
레모네이드,N/A,N/A,N/A,N/A,N/A
레모네이드,260,70.00,0.00,0.00,1 bottle
레몬,29,9.32,1.10,0.30,100g
레몬,25,8.63,0.38,0.00,100g
레몬,21,6.48,0.40,0.29,100g
로메인상추,15,1.00,1.00,0.00,1 cup
로메인상추,15,1.00,1.00,0.00,2 cups
로메인상추,15,3.00,1.00,0.50,6 leaves
롤,300,50.40,8.40,7.30,100g
롤,293,52.70,9.90,4.30,100g
롤,315,53.43,8.48,7.20,100g
롤케이크,230,34.00,6.00,8.00,1 slice
롤케이크,190,42.00,2.00,0.00,1 slice
롤케이크,N/A,N/A,N/A,N/A,N/A
리조또,N/A,N/A,N/A,N/A,N/A
리조또,270,31.00,7.00,13.00,1 cup
리조또,160,28.00,3.00,3.00,1 cup
리코타치즈,N/A,N/A,N/A,N/A,N/A
리코타치즈,45,1.00,4.00,3.00,2 tbsp
리코타치즈,N/A,N/A,N/A,N/A,N/A
마,90,25.00,0.00,0.00,1 can
마,N/A,N/A,N/A,N/A,N/A
마,110,27.00,0.00,0.00,12 pieces
마늘,149,33.06,6.36,0.50,100g
마늘,4,0.99,0.19,0.02,3g
마늘,149,33.06,6.36,0.50,100g
마늘구이,578,70.40,11.40,27.80,1 serving
마늘구이,110,4.00,16.00,3.50,8 shrimp
마늘구이,140,14.00,4.00,7.00,1 slice
마늘장아찌,149,33.06,6.36,0.50,100g
마늘장아찌,4,0.99,0.19,0.02,3g
마늘장아찌,149,33.06,6.36,0.50,100g
마들렌,130,15.00,1.00,8.00,1 cookie
마들렌,130,14.00,1.00,7.00,1 cookie
